id,name,parent_id
1,Softgel Gıda Takviyeleri,
2,Gıda Takviyeleri,
3,Kapsül Gıda Takviyeleri,
4,Propolis & Karışımları,
8,Sepe Natural,
35,250 ml Şampuan,
36,Şampuan,
59,Arı Sütü & Karışımları,
63,El ve Vücut Bakım Kremleri,
64,400 ml Şampuan,
70,Bitkisel Yağlar,
71,Uçucu Yağlar,
72,25 ml,
80,Bal Çeşitleri,
85,Sabit Yağlar,
97,Polen & Karışımları,
99,Arı Ürünleri & Karışımlar,
100,Duş Jeli,
107,Sıvı Sabun,
108,Vücut Nemlendirici Losyon,
114,Damla Gıda Takviyeleri,
122,250 ml,
126,50 ml,
154,1000 ml,
177,200 ml,
232,Maserasyon Yağlar,
239,Likit Gıda Takviyeleri,
270,Yüz Maskesi,
332,170 ml,
342,50 gram,
360,Kozmetik Ürünler,
367,Toz & Ekstraktlar,
368,100 gram,
454,NOP,
458,500 gram,
462,1000 gram,
526,Tablet Gıda Takviyeleri,
536,SETLİ ÜRÜNLER,
